거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-01,6,제주도,태양광,0.00036
2024-01-01,7,제주도,태양광,0.000344
2024-01-01,8,제주도,태양광,0.693809
2024-01-01,9,제주도,태양광,25.965705
2024-01-01,10,제주도,태양광,76.960793
2024-01-01,11,제주도,태양광,136.542084
2024-01-01,12,제주도,태양광,179.707494
2024-01-01,13,제주도,태양광,96.081713
2024-01-01,14,제주도,태양광,67.812894
2024-01-01,15,제주도,태양광,50.902445
2024-01-01,16,제주도,태양광,36.543509
2024-01-01,17,제주도,태양광,21.097691
2024-01-01,18,제주도,태양광,3.431511
2024-01-01,19,제주도,태양광,3.997628
2024-01-01,20,제주도,태양광,6.083232
2024-01-01,21,제주도,태양광,2.150584
2024-01-01,22,제주도,태양광,0.203736
2024-01-01,23,제주도,태양광,0.000328
2024-01-01,24,제주도,태양광,0.000328
2024-01-01,1,충청남도,태양광,0.0006
2024-01-01,2,충청남도,태양광,0.00016
2024-01-01,3,충청남도,태양광,0.00016
2024-01-01,4,충청남도,태양광,0.00016
2024-01-01,5,충청남도,태양광,0.0002
2024-01-01,6,충청남도,태양광,0.00016
2024-01-01,7,충청남도,태양광,0.00008
2024-01-01,8,충청남도,태양광,0.382012
2024-01-01,9,충청남도,태양광,50.670779
2024-01-01,10,충청남도,태양광,156.179495
2024-01-01,11,충청남도,태양광,277.866841
2024-01-01,12,충청남도,태양광,386.12306
2024-01-01,13,충청남도,태양광,434.505779
2024-01-01,14,충청남도,태양광,349.907221
2024-01-01,15,충청남도,태양광,182.634474
2024-01-01,16,충청남도,태양광,133.408155
2024-01-01,17,충청남도,태양광,149.579984
2024-01-01,18,충청남도,태양광,106.868878
2024-01-01,19,충청남도,태양광,89.486632
2024-01-01,20,충청남도,태양광,38.415713
2024-01-01,21,충청남도,태양광,18.191755
2024-01-01,22,충청남도,태양광,8.111271
2024-01-01,23,충청남도,태양광,3.454552
2024-01-01,24,충청남도,태양광,0.77716
2024-01-01,1,충청북도,태양광,0
2024-01-01,2,충청북도,태양광,0
2024-01-01,3,충청북도,태양광,0
2024-01-01,4,충청북도,태양광,0.0174
2024-01-01,5,충청북도,태양광,0
2024-01-01,6,충청북도,태양광,0
2024-01-01,7,충청북도,태양광,0
2024-01-01,8,충청북도,태양광,0.043242
2024-01-01,9,충청북도,태양광,7.186591
2024-01-01,10,충청북도,태양광,26.633421
2024-01-01,11,충청북도,태양광,51.772491
2024-01-01,12,충청북도,태양광,90.216152
2024-01-01,13,충청북도,태양광,120.302796
2024-01-01,14,충청북도,태양광,119.46445
2024-01-01,15,충청북도,태양광,80.533428
2024-01-01,16,충청북도,태양광,39.639537
2024-01-01,17,충청북도,태양광,39.682308
2024-01-01,18,충청북도,태양광,37.355203
2024-01-01,19,충청북도,태양광,29.8937
2024-01-01,20,충청북도,태양광,12.005171
2024-01-01,21,충청북도,태양광,7.473461
2024-01-01,22,충청북도,태양광,3.351
2024-01-01,23,충청북도,태양광,1.53102
2024-01-01,24,충청북도,태양광,0.19454
2024-01-02,1,강원도,태양광,0
2024-01-02,2,강원도,태양광,0
2024-01-02,3,강원도,태양광,0
2024-01-02,4,강원도,태양광,0
2024-01-02,5,강원도,태양광,0
2024-01-02,6,강원도,태양광,0
2024-01-02,7,강원도,태양광,0
2024-01-02,8,강원도,태양광,0.222703
2024-01-02,9,강원도,태양광,10.492975
2024-01-02,10,강원도,태양광,43.368653
2024-01-02,11,강원도,태양광,73.768329
2024-01-02,12,강원도,태양광,111.160109
2024-01-02,13,강원도,태양광,134.816076
2024-01-02,14,강원도,태양광,135.390597
2024-01-02,15,강원도,태양광,109.373896
2024-01-02,16,강원도,태양광,61.524
2024-01-02,17,강원도,태양광,44.072036
2024-01-02,18,강원도,태양광,27.456873
2024-01-02,19,강원도,태양광,25.922726
2024-01-02,20,강원도,태양광,21.862187
2024-01-02,21,강원도,태양광,13.954852
2024-01-02,22,강원도,태양광,5.768157
2024-01-02,23,강원도,태양광,1.910639
2024-01-02,24,강원도,태양광,0.0054
2024-01-02,1,경기도,태양광,0.0089
2024-01-02,2,경기도,태양광,0
2024-01-02,3,경기도,태양광,0
2024-01-02,4,경기도,태양광,0
2024-01-02,5,경기도,태양광,0
2024-01-02,6,경기도,태양광,0
2024-01-02,7,경기도,태양광,0
2024-01-02,8,경기도,태양광,0.0024
2024-01-02,9,경기도,태양광,2.821998
2024-01-02,10,경기도,태양광,12.144034
2024-01-02,11,경기도,태양광,39.774426
2024-01-02,12,경기도,태양광,64.795256
2024-01-02,13,경기도,태양광,52.659671
2024-01-02,14,경기도,태양광,55.993303
2024-01-02,15,경기도,태양광,39.130227
2024-01-02,16,경기도,태양광,28.247198
2024-01-02,17,경기도,태양광,17.944413
2024-01-02,18,경기도,태양광,4.827774
2024-01-02,19,경기도,태양광,2.040726
2024-01-02,20,경기도,태양광,1.06317
2024-01-02,21,경기도,태양광,1.863554
2024-01-02,22,경기도,태양광,0.180701
2024-01-02,23,경기도,태양광,0
2024-01-02,24,경기도,태양광,0
2024-01-02,1,경상남도,태양광,0.102176
2024-01-02,2,경상남도,태양광,0
2024-01-02,3,경상남도,태양광,0
2024-01-02,4,경상남도,태양광,0
2024-01-02,5,경상남도,태양광,0
2024-01-02,6,경상남도,태양광,0
2024-01-02,7,경상남도,태양광,0
2024-01-02,8,경상남도,태양광,0.663277
2024-01-02,9,경상남도,태양광,31.469138
2024-01-02,10,경상남도,태양광,107.69542
2024-01-02,11,경상남도,태양광,173.480958
2024-01-02,12,경상남도,태양광,210.559064
2024-01-02,13,경상남도,태양광,227.038177
2024-01-02,14,경상남도,태양광,234.993268
2024-01-02,15,경상남도,태양광,199.891256
2024-01-02,16,경상남도,태양광,129.864052
2024-01-02,17,경상남도,태양광,53.738566
2024-01-02,18,경상남도,태양광,24.905857
2024-01-02,19,경상남도,태양광,28.083034
2024-01-02,20,경상남도,태양광,25.028079
2024-01-02,21,경상남도,태양광,15.880136
2024-01-02,22,경상남도,태양광,8.196621
2024-01-02,23,경상남도,태양광,2.586528
2024-01-02,24,경상남도,태양광,0.90134
2024-01-02,1,경상북도,태양광,0.03856
2024-01-02,2,경상북도,태양광,0
2024-01-02,3,경상북도,태양광,0
2024-01-02,4,경상북도,태양광,0.012655
2024-01-02,5,경상북도,태양광,0.012655
2024-01-02,6,경상북도,태양광,0
2024-01-02,7,경상북도,태양광,0
2024-01-02,8,경상북도,태양광,0.518307
2024-01-02,9,경상북도,태양광,21.357615
2024-01-02,10,경상북도,태양광,73.206092
2024-01-02,11,경상북도,태양광,115.808737
2024-01-02,12,경상북도,태양광,156.084697
2024-01-02,13,경상북도,태양광,194.406631
2024-01-02,14,경상북도,태양광,214.657523
2024-01-02,15,경상북도,태양광,168.127733
2024-01-02,16,경상북도,태양광,105.875464
2024-01-02,17,경상북도,태양광,59.67077
2024-01-02,18,경상북도,태양광,24.549231
2024-01-02,19,경상북도,태양광,42.472168
2024-01-02,20,경상북도,태양광,24.254989
2024-01-02,21,경상북도,태양광,11.810795
2024-01-02,22,경상북도,태양광,2.945109
2024-01-02,23,경상북도,태양광,1.556122
2024-01-02,24,경상북도,태양광,0.3456
2024-01-02,1,광주시,태양광,0
2024-01-02,2,광주시,태양광,0
2024-01-02,3,광주시,태양광,0
2024-01-02,4,광주시,태양광,0
2024-01-02,5,광주시,태양광,0
2024-01-02,6,광주시,태양광,0
2024-01-02,7,광주시,태양광,0
2024-01-02,8,광주시,태양광,0.004072
2024-01-02,9,광주시,태양광,0.48826
2024-01-02,10,광주시,태양광,3.187841
2024-01-02,11,광주시,태양광,6.577329
2024-01-02,12,광주시,태양광,12.176018
2024-01-02,13,광주시,태양광,10.171492
2024-01-02,14,광주시,태양광,13.999388
2024-01-02,15,광주시,태양광,11.039431
2024-01-02,16,광주시,태양광,7.158015
2024-01-02,17,광주시,태양광,3.741956
2024-01-02,18,광주시,태양광,1.392058
2024-01-02,19,광주시,태양광,0.91248
2024-01-02,20,광주시,태양광,0.41524
2024-01-02,21,광주시,태양광,0.08238
2024-01-02,22,광주시,태양광,0.0498
2024-01-02,23,광주시,태양광,0
2024-01-02,24,광주시,태양광,0
2024-01-02,1,대구시,태양광,0
2024-01-02,2,대구시,태양광,0
2024-01-02,3,대구시,태양광,0
2024-01-02,4,대구시,태양광,0
2024-01-02,5,대구시,태양광,0
2024-01-02,6,대구시,태양광,0
2024-01-02,7,대구시,태양광,0
2024-01-02,8,대구시,태양광,0.040492
2024-01-02,9,대구시,태양광,2.445977
2024-01-02,10,대구시,태양광,8.458992
2024-01-02,11,대구시,태양광,18.278342
2024-01-02,12,대구시,태양광,24.570677
2024-01-02,13,대구시,태양광,24.055133
2024-01-02,14,대구시,태양광,21.879543
2024-01-02,15,대구시,태양광,16.606715
2024-01-02,16,대구시,태양광,10.720276
2024-01-02,17,대구시,태양광,5.977998
2024-01-02,18,대구시,태양광,2.606767
2024-01-02,19,대구시,태양광,2.498588
