기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,13,2614054000,서대신1동,421081
2022-04,06,2614054000,서대신1동,467004
2022-04,23,2614054000,서대신1동,468484
2022-04,22,2614054000,서대신1동,527924
2022-04,19,2614054000,서대신1동,507141
2022-04,17,2614054000,서대신1동,477978
2022-04,01,2614054000,서대신1동,469590
2022-04,07,2614054000,서대신1동,461757
2022-04,04,2614054000,서대신1동,460120
2022-04,15,2614054000,서대신1동,438146
2022-04,16,2614054000,서대신1동,457101
2022-04,14,2614054000,서대신1동,424260
2022-04,20,2614054000,서대신1동,517156
2022-04,11,2614054000,서대신1동,426153
2022-04,12,2614054000,서대신1동,422605
2022-04,05,2614054000,서대신1동,465437
2022-04,02,2614054000,서대신1동,465511
2022-04,03,2614054000,서대신1동,463233
2022-04,08,2614054000,서대신1동,440678
2022-04,10,2614054000,서대신1동,430306
2022-04,00,2614054000,서대신1동,477254
2022-04,11,2614056000,서대신3동,83262
2022-04,06,2614056000,서대신3동,93345
2022-04,07,2614056000,서대신3동,92224
2022-04,10,2614056000,서대신3동,86010
2022-04,04,2614056000,서대신3동,94351
2022-04,12,2614056000,서대신3동,79800
2022-04,03,2614056000,서대신3동,95637
2022-04,23,2614056000,서대신3동,98105
2022-04,13,2614056000,서대신3동,78265
2022-04,05,2614056000,서대신3동,92384
2022-04,14,2614056000,서대신3동,76363
2022-04,09,2614056000,서대신3동,88947
2022-04,16,2614056000,서대신3동,70322
2022-04,15,2614056000,서대신3동,73497
2022-04,21,2614056000,서대신3동,77227
2022-04,20,2614056000,서대신3동,74382
2022-04,00,2614056000,서대신3동,99534
2022-04,19,2614056000,서대신3동,71772
2022-04,22,2614056000,서대신3동,79979
2022-04,02,2614056000,서대신3동,96433
2022-04,17,2614056000,서대신3동,68672
2022-04,08,2614056000,서대신3동,93686
2022-04,18,2614056000,서대신3동,69428
2022-04,01,2614056000,서대신3동,96878
2022-04,08,2614057000,서대신4동,240616
2022-04,03,2614057000,서대신4동,244359
2022-04,05,2614057000,서대신4동,240900
2022-04,12,2614057000,서대신4동,241301
2022-04,02,2614057000,서대신4동,241652
2022-04,20,2614057000,서대신4동,192514
2022-04,14,2614057000,서대신4동,227369
2022-04,16,2614057000,서대신4동,198600
2022-04,11,2614057000,서대신4동,239281
2022-04,17,2614057000,서대신4동,188230
2022-04,00,2614057000,서대신4동,223607
2022-04,15,2614057000,서대신4동,212235
2022-04,07,2614057000,서대신4동,239840
2022-04,06,2614057000,서대신4동,239205
2022-04,22,2614057000,서대신4동,198787
2022-04,01,2614057000,서대신4동,237285
2022-04,09,2614057000,서대신4동,244012
2022-04,19,2614057000,서대신4동,190603
2022-04,18,2614057000,서대신4동,188041
2022-04,04,2614057000,서대신4동,249878
2022-04,13,2614057000,서대신4동,235612
2022-04,21,2614057000,서대신4동,197168
2022-04,10,2614057000,서대신4동,242096
2022-04,23,2614057000,서대신4동,224069
2022-04,17,2614059000,부민동,123654
2022-04,18,2614059000,부민동,119213
2022-04,02,2614059000,부민동,141872
2022-04,07,2614059000,부민동,126187
2022-04,01,2614059000,부민동,143789
2022-04,10,2614059000,부민동,132076
2022-04,11,2614059000,부민동,138813
2022-04,06,2614059000,부민동,132002
2022-04,05,2614059000,부민동,135100
2022-04,14,2614059000,부민동,140930
2022-04,15,2614059000,부민동,136205
2022-04,22,2614059000,부민동,116929
2022-04,09,2614059000,부민동,126607
2022-04,00,2614059000,부민동,142827
2022-04,13,2614059000,부민동,141250
